Restaurante,Puntaje
Croq & Roll,"4,5"
Pla Restaurant,"4,5"
Quinoa Bar Vegetarià,"4,5"
Kubik,"2,5"
El All i Oli,"3,5"
Brugarol Barcelona,"5,0"
Empanadas Malvón,"5,0"
Restaurante Feroz,"3,5"
Txirimiri,"4,5"
La Vinateria del Call,"4,5"
Ugarit Joanic,"4,5"
El Chigre 1769,"4,5"
Pizzeria L'Antica Napoli,"4,5"
Artespañol Paella & Tapas,"4,0"
Can Cargolet,"4,0"
Restaurant Hindú Shanti,"4,0"
Casa Dario,"4,0"
ASKADINYA,"4,0"
Viena Ronda Sant Pere,"4,0"
PIZZERIA LA NOVA FONTANA,"4,5"
La Carioca,"4,5"
b Restaurant,"5,0"
El Callejon,"4,5"
Restaurante Mi Rincon,"4,5"
Restaurante China Crown Barcelona,"4,5"
Madame,"4,5"
Moments,"4,5"
GatBlau Restaurant,"4,5"
Antúnez,"4,0"
Takenori Mito Daruma,"4,5"
Itapa Boqueria,"2,5"
Palosanto Tapas Bar,"4,5"
Equilibri Bcn,"4,5"
El Tap,"4,5"
We Love Italy,"5,0"
Gallo Nero,"4,5"
Restaurant Cátedra,"4,5"
Mamma Italia,"4,5"
The Ranch Smokehouse,"4,5"
Speakeasy,"4,5"
Restaurante La Palmera,"4,5"
Casa Palet,"4,5"
Obe Restaurant,"4,5"
La Cereria,"4,5"
Restaurant Reñé,"4,0"
Can Vador Illa Diagonal,"4,0"
Vegetalia Gotico,"4,5"
Bracafe Barcelona,"3,5"
Santa Tapa Barcelona,"4,0"
Cal Trapella - Cuina de Mercat,"4,5"
Casa Martelo,"3,5"
Barcelona Gaudi Restaurant,"4,0"
Can Vador,"4,0"
Mussol Arenas,"3,5"
Thai Spicy Restaurante,"4,5"
Restaurante Loto,"5,0"
Camarote de en Tomas,"4,5"
Mextizo Barcelona,"4,0"
Bar Ramon,"4,0"
La Plassohla,"4,0"
Flexbowls,"4,5"
La Cazuela Barcelona,"4,5"
Batea Barcelona Restaurant,"4,5"
The Growler Barcelona,"5,0"
Lamian Barcelona,"4,5"
Habana Vieja Restaurante Cubano,"4,5"
